DATE,WILL5000INDFC
2016-01-01,84.6005263157894737
2016-02-01,83.6585000000000000
2016-03-01,89.4718181818181818
2016-04-01,92.2038095238095238
2016-05-01,92.0900000000000000
2016-06-01,93.2790909090909091
2016-07-01,96.3740000000000000
2016-08-01,98.0447826086956522
2016-09-01,97.6171428571428571
2016-10-01,96.9976190476190476
2016-11-01,98.4447619047619048
2016-12-01,102.7090476190476190
2017-01-01,104.2090000000000000
2017-02-01,106.7873684210526316
2017-03-01,108.1530434782608696
2017-04-01,108.1847368421052632
2017-05-01,109.8009090909090909
2017-06-01,111.7327272727272727
2017-07-01,112.8755000000000000
2017-08-01,112.7791304347826087
2017-09-01,114.9035000000000000
2017-10-01,118.1786363636363636
2017-11-01,119.8090476190476190
2017-12-01,123.2990000000000000
2018-01-01,129.1671428571428571
2018-02-01,125.3621052631578947
2018-03-01,125.8038095238095238
2018-04-01,123.8376190476190476
2018-05-01,126.5500000000000000
2018-06-01,129.7533333333333333
2018-07-01,131.6500000000000000
2018-08-01,134.7460869565217391
2018-09-01,136.7836842105263158
2018-10-01,130.4978260869565217
2018-11-01,127.6552380952380952
2018-12-01,120.1963157894736842
2019-01-01,122.9128571428571429
2019-02-01,130.5421052631578947
2019-03-01,132.7928571428571429
2019-04-01,137.4804761904761905
2019-05-01,135.3681818181818182
2019-06-01,136.7360000000000000
2019-07-01,141.9163636363636364
2019-08-01,137.0136363636363636
2019-09-01,140.9075000000000000
2019-10-01,140.5060869565217391
2019-11-01,146.6485000000000000
2019-12-01,150.2804761904761905
2020-01-01,155.2790476190476190
2020-02-01,155.5657894736842105
2020-03-01,124.5377272727272727
2020-04-01,129.3890476190476190
2020-05-01,138.3790000000000000
2020-06-01,148.4450000000000000
2020-07-01,153.7495454545454545
2020-08-01,163.1009523809523810
2020-09-01,162.2200000000000000
2020-10-01,166.3577272727272727
2020-11-01,173.6770000000000000
2020-12-01,183.7777272727272727
2021-01-01,190.2005263157894737
2021-02-01,196.2500000000000000
2021-03-01,196.1495652173913043
2021-04-01,206.5138095238095238
2021-05-01,206.7880952380952381
2021-06-01,211.9090909090909091
2021-07-01,216.8423809523809524
2021-08-01,220.6886363636363636
2021-09-01,220.9695238095238095
2021-10-01,222.0076190476190476
2021-11-01,231.7709523809523810
2021-12-01,228.4422727272727273
